Sample,Treatment,AVERAGE,STD DEV,%CV,Conc pg/ml
NMX19H,Control,7422.315,467.1925214,6.294431338,20.1510346
NMX09H,Control,7152.75,275.4322334,3.850718023,23.83396774
NMX16G,Control,6976.3,68.92876903,0.988041928,26.60198665
NMX28G,Control,6574.86,245.4791902,3.733603303,34.15673008
NMX02F,Control,6342.89,360.2567629,5.679694317,39.46466273
NMX09G,Control,6227.905,322.0659256,5.171336519,42.39396311
NMX06F,Control,6215.85,571.3988477,9.192609985,42.71339335
NMX30G,Control,6025.945,15.88868937,0.263671331,48.07512936
NMX13N,Control,5853.855,133.1694201,2.274901242,53.51297577
NMX08F,Control,5695.145,264.6629971,4.647168722,59.07168547
NMX22F,Control,5500.68,132.6815164,2.412092985,66.67590495
NMX29F,NMX,6998.645,83.03554931,1.186451796,26.234408
NMX07G,NMX,6448.11,121.6082242,1.885951453,36.96183653
NMX01F,NMX,6312.365,154.3967657,2.445941666,40.22196947
NMX21F,NMX,6295.43,63.41333614,1.007291577,40.6483665
NMX12F,NMX,6230.935,133.9330954,2.14948632,42.31405134
NMX17G,NMX,6143.355,43.62141733,0.710058548,44.68574902
NMX03F,NMX,6046.465,420.6366109,6.956736059,47.46474993
NMX27G,NMX,5985.63,95.72811604,1.599298922,49.29727654
NMX25G,NMX,5859.925,128.6156524,2.194834446,53.31109217
NMX10G,NMX,5586.52,39.71111683,0.710838175,63.20552414
NMX24F,NMX,5347.465,194.0654561,3.629111291,73.35051301
NMX15F,NMX,5320.205,219.0404676,4.117143373,74.60623632
