ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,direction,tissue
GO:0048880,sensory system development,0.0605613,0.026087422,0.084188912,2.321475042,5.732162701,5.34E-07,0.00013281,0.00010923,Tfap2b/Clcn2/Mfap2/Stra6/Cyp1b1/Six6/Nfix/Bmp7/Aldh1a1/Serpinf1/Six3/Cryab/Bmp6/Col5a1/Col4a1/Phactr4/Rhoj/Rax/Fat1/Sh3pxd2b/Foxp2/Max/Fzd5/Arl6/Th/Kdr/Cfd/Nf2/Gas1/Sox2/Smad3/Hes1/Ttll5/Klf4/Fbn1/Fgf10/C1qa/Nphp4/Maf/Rxra/Optn,41,Up,ARC
GO:0016055,Wnt signaling pathway,0.05760709,0.024266124,0.086092715,2.373971651,5.742701355,5.79E-07,0.000137068,0.000112732,Frzb/Yap1/Bicc1/Col6a1/Lats2/Sfrp1/Six3/Hbp1/Dkk3/Nkd1/Nxn/Tpbg/Fzd5/Daam2/Pkd2/Pbxip1/Arl6/Lgr6/Ctnnd1/Usp8/Lrp4/Fzd9/Sox2/Smad3/Rnf213/Foxo1/Klf4/Mcc/Fgf10/Dab2/Wnt6/Mbd2/Nphp4/Stk3/Abl1/Gpc3/Sfrp2/Usp47/Rbpj,39,Up,ARC
GO:0042063,gliogenesis,0.048744461,0.023355475,0.075688073,2.087067879,4.455399976,5.91E-05,0.003508568,0.002885638,Clcn2/Mt2A/Col6a1/Nfix/Rela/Atf5/Vcan/Itgb4/Mmp14/Lamb1/Rras/Tp53/Daam2/Scrib/Ifngr1/Robo1/Tspo/Aspa/Nf2/Lama2/Hes1/Rb1/Sun2/Smo/Fgf10/Trem2/C1qa/C1s/Abl1/Csk/Col3a1/Akt2/Ndrg1,33,Up,ARC
GO:0030111,regulation of Wnt signaling pathway,0.047267356,0.017677309,0.096969697,2.673900004,5.95133562,4.61E-07,0.000120635,9.92E-05,Frzb/Yap1/Bicc1/Lats2/Sfrp1/Six3/Dkk3/Nkd1/Nxn/Tpbg/Daam2/Pbxip1/Lgr6/Ctnnd1/Usp8/Lrp4/Fzd9/Sox2/Smad3/Rnf213/Foxo1/Mcc/Fgf10/Dab2/Mbd2/Nphp4/Stk3/Abl1/Gpc3/Sfrp2/Usp47/Rbpj,32,Up,ARC
GO:0051384,response to glucocorticoid,0.039881832,0.016820227,0.085987261,2.371063798,4.752926193,3.22E-05,0.002235853,0.001838887,Oxt/Ucp2/Cyp1b1/Mgp/Serpinf1/Bmp6/Hmgcs2/RT1-Ba/Fosl2/Klf9/Mfn1/A2m/Sult1a1/Th/Usp8/Glb1/Fam107a/Shc1/Foxo1/Sgk1/Ccl5/Igfbp7/Gjb2/Aif1/Rxra/C1qb/Fibin,27,Up,ARC
GO:0007416,synapse assembly,0.053824363,0.012588387,0.161702128,4.27571575,10.01853908,3.06E-14,4.71E-11,4.28E-11,Psd/Arhgef9/Gpm6a/Dnm3/Lrfn5/Mdga1/Pcdh17/Icam5/Srcin1/Gabra2/Elavl2/Mdga2/Gabrg2/LRRTM1/Gabrb2/Sptbn2/Lzts3/Gabra4/Clstn3/Kirrel3/Gabra1/Wnt7a/Nptn/Fgf13/Il1rapl1/Lrrc24/Bdnf/Cbln4/Cbln2/Nrxn2/Numbl/C1ql3/Slitrk5/Snca/Oxtr/Akap5/Nptx1/Cbln1,38,Down,ARC
GO:0007611,learning or memory,0.050991501,0.019123634,0.100840336,2.666412741,6.302646109,9.34E-08,1.59E-05,1.44E-05,Agt/Grin2b/Abca7/Deaf1/Dgki/Brsk1/Kcnq2/Grin2a/Grm7/Slc12a5/Zzef1/Htr2c/Shank1/Camk4/Arl6ip5/Clstn3/Cacna1c/Asic1/Nptn/Hrh1/Fgf13/Ttbk1/Bdnf/Cck/B3gat1/Scn2a/Nrxn2/Grm4/Oxtr/Chrna7/Grm5/Kcnk2/Nrgn/Cnr1/Tac1/Pmch,36,Down,ARC
GO:0099173,postsynapse organization,0.04815864,0.014248982,0.127819549,3.379795097,7.750150547,5.28E-10,1.83E-07,1.66E-07,Cpne6/Psd/Tmem108/Grin2b/Glrb/Nrp1/Arhgef9/Dnm3/Grin2a/Nos1ap/Myo5b/Srcin1/Arhgap44/Cntnap1/LRRTM1/Dlg2/Actg1/Shank1/Sptbn2/Dbn1/Lzts3/Cnksr2/Chmp2b/Wnt7a/Il1rapl1/Nefh/Nrxn2/Numbl/C1ql3/Htr1a/Rac1/Chrna7/Nptx1/Cbln1,34,Down,ARC
GO:0048167,regulation of synaptic plasticity,0.045325779,0.019552175,0.087671233,2.318196282,5.042287948,9.63E-06,0.000677757,0.000616128,Agt/Ppfia3/Grin2b/Dgki/Gnal/Brsk1/Kcnq2/Rasgrf1/Grin2a/Rims2/Rab5a/Zzef1/Cpeb1/Penk/LRRTM1/Dbn1/Rasgrf2/Prrt2/Neurl1/Nptn/Hrh1/Rims3/Bdnf/Snca/Rac1/Chrna7/Grm5/Akap5/Nrgn/Cbln1/Grm2/Pmch,32,Down,ARC
GO:0001508,action potential,0.038243626,0.008892222,0.162650602,4.300795249,8.468871816,1.46E-10,5.47E-08,4.97E-08,Grin2b/Cacna1i/Scn3a/Kcnd2/Kcnip2/Camk2d/Kcnip1/Kcnq2/Grin2a/Nos1ap/Kcnc2/Ryr2/Fgf12/Scn3b/Cntnap1/Cacna2d1/Kcnh2/Fkbp1b/Cacna1c/Cacna1g/Ywhah/Fgf13/Scn2a/Chrna7/Kcnj11/Cnr1/Tac1,27,Down,ARC
