"gene","moduleMembership","GS.trait","moduleName"
"Manf",0.804609093321316,-0.250123945093809,"green"
"Mtmr4",0.807252182796279,-0.2150379148451,"green"
"Aimp2",0.91883382195938,-0.450035154375055,"brown"
"Akr1a1",0.914740929570923,-0.52388173424279,"brown"
"Anapc13",0.828796045598398,-0.583114565864275,"brown"
"Anxa7",0.820847951445703,-0.523403842623816,"brown"
"Atp5f1a",0.8711781462278,-0.520114804069062,"brown"
"Atp5f1b",0.814652029299268,-0.597280320785495,"brown"
"Atp5f1e",0.927317267767216,-0.596966849397995,"brown"
"Atp5mc1",0.897360883641494,-0.499464850524743,"brown"
"Atp5me",0.857726387264799,-0.48262631155955,"brown"
"Atp5mf",0.874668626699894,-0.334094584706198,"brown"
"Atp5mg",0.828020063845726,-0.298957675074645,"brown"
"Atp5pb",0.882671223976191,-0.384938380465042,"brown"
"Atp5pf",0.901606561070692,-0.564960302879708,"brown"
"Atp5po",0.862654209933019,-0.409425678083199,"brown"
"Atp6v0c",0.840413915145919,-0.276197075817051,"brown"
"Atp6v1e1",0.90682987926445,-0.305194217222621,"brown"
"Atp6v1g1",0.949739268242095,-0.31461399630461,"brown"
"Banf1",0.863116772977549,-0.547363484005926,"brown"
"Bola2",0.828668201896279,-0.474243647545012,"brown"
"Bud31",0.817300547107589,-0.459745095294963,"brown"
"C19h19orf53",0.874696675031454,-0.497395485511833,"brown"
"Ccs",0.89143383003761,-0.606588717164281,"brown"
"Cdkn2aipnl",0.826964134738824,-0.484953125071601,"brown"
"Chchd3",0.842466027341811,-0.460996463160792,"brown"
"Chmp2a",0.855733404859446,-0.432069798286213,"brown"
"Cnp",0.808900635827507,-0.551850059030339,"brown"
"Commd1",0.825966933562938,-0.526171031797995,"brown"
"Cope",0.885187730156816,-0.472330358227912,"brown"
"Cops9",0.887186914278197,-0.266716201077556,"brown"
"Coq3",0.800870580445853,-0.324212496922771,"brown"
"Cox20",0.84631419841331,-0.47168902615895,"brown"
"Cox5a",0.820397377964156,-0.451194690928124,"brown"
"Cox5b",0.890064279875061,-0.616249292962628,"brown"
"Cox6b1",0.917244501212138,-0.509523835020664,"brown"
"Cox6c",0.847309939137221,-0.413004542788351,"brown"
"Cox7b",0.856856277264959,-0.475141913715773,"brown"
"Cox8a",0.894750551022719,-0.542573497379565,"brown"
"Cpsf3",0.816593156412743,-0.502420247052611,"brown"
"Cyc1",0.838788919443959,-0.429656939331526,"brown"
"Ddrgk1",0.833286679367185,-0.370347909656865,"brown"
"Decr1",0.864992764574902,-0.371095619367574,"brown"
"Dph3",0.865888680695802,-0.4389515147983,"brown"
"Echs1",0.929571219947438,-0.488878233498185,"brown"
"Elob",0.911920109648488,-0.609621374434252,"brown"
"Emc7",0.906278558402169,-0.510297022438868,"brown"
"Ergic3",0.844187394113094,-0.448502114266412,"brown"
"Fdx1",0.833966457532049,-0.247663914571783,"brown"
"Gatd3a",0.863233461374872,-0.546479418555772,"brown"
"Gdi2",0.874559112381535,-0.51165289595462,"brown"
"Glrx3",0.820900292699085,-0.308633544488786,"brown"
"Gpx1",0.839711419458181,-0.447136742843631,"brown"
"Grcc10",0.829579554424253,-0.604300047077673,"brown"
"Hspe1",0.857161758424716,-0.252118093299392,"brown"
"Hyi",0.849698488880421,-0.204365060780901,"brown"
"Ier3ip1",0.822967257123567,-0.440228030401741,"brown"
"Ifi30",0.833172023352547,-0.681762421964077,"brown"
"Immp1l",0.816871978285227,-0.401076249088579,"brown"
"Imp4",0.860596946855368,-0.322214984463063,"brown"
"Jagn1",0.803697069131704,-0.327854718848605,"brown"
"Josd2",0.84052835126119,-0.368586319110636,"brown"
"Krtcap2",0.804152070558262,-0.337402246362175,"brown"
"Lamp1",0.886182323359819,-0.560407273985151,"brown"
"Lamtor4",0.87589454244006,-0.570184673210153,"brown"
"Lap3",0.817011526354768,-0.415261082117313,"brown"
"Marchf2",0.850835030610261,-0.521282964808349,"brown"
"Micos13",0.872034430382358,-0.466757199776584,"brown"
"Mpc2",0.841886507761546,-0.248120359304127,"brown"
"Mrpl12",0.875572914781349,-0.511228902197351,"brown"
"Mrpl16",0.8267368281956,-0.504160630875847,"brown"
"Mrpl18",0.804177134530434,-0.405115170812421,"brown"
"Mrpl20",0.912193005566389,-0.519658596220008,"brown"
"Mrpl32",0.837962819300873,-0.458090596994704,"brown"
"Mrpl34",0.8778817652319,-0.548917462284786,"brown"
"Mrpl41",0.813729348891463,-0.377348820225729,"brown"
"Mrpl49",0.880576788802581,-0.495547988477204,"brown"
"Mrps16",0.891507720998481,-0.319787477229576,"brown"
"Mrps21",0.825692989398819,-0.592924043224914,"brown"
"Mrps23",0.872058417340331,-0.378398834439696,"brown"
"Mrps24",0.878000923002022,-0.442945257459192,"brown"
"Mrps34",0.877974915975252,-0.518080527351672,"brown"
"Mrps7",0.957304448753222,-0.409967323006144,"brown"
