"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","tissue"
"GO:0034329","cell junction assembly",0.138888888888889,0.0263016927362331,1.26973335143939e-09,1.9316876719898e-07,1.50853232560484e-07,"Bdnf/Hapln4/Gabra1/Snca/Cbln1/Thy1/Cbln4/Elavl2/Gabra4/Lgi2/Gabrb2/Akap5/Slitrk5/Gabra3/Nptx1/Add2/Cdh8/Lzts3/Gabra5/Lrfn5",20,"Up","ARC"
"GO:0048167","regulation of synaptic plasticity",0.131944444444444,0.019552174844654,5.60544736455287e-11,1.59895386073871e-08,1.24868715634053e-08,"Grm2/Bdnf/Pmch/Grm5/Prkcg/Snca/Cbln1/Kcnq3/Grin2a/Penk/Neto1/Nrgn/Cyp46a1/Akap5/Prrt2/Slc8a3/Gnal/Chrna7/Atp2b2",19,"Up","ARC"
"GO:0007416","synapse assembly",0.125,0.0125883865438183,2.94145759639066e-13,1.42760302811945e-10,1.11487242336188e-10,"Bdnf/Hapln4/Gabra1/Snca/Cbln1/Cbln4/Elavl2/Gabra4/Lgi2/Gabrb2/Akap5/Slitrk5/Gabra3/Nptx1/Add2/Lzts3/Gabra5/Lrfn5",18,"Up","ARC"
"GO:0060078","regulation of postsynaptic membrane potential",0.118055555555556,0.00899935718877223,1.4168438305161e-14,1.61661881061887e-11,1.26248242371776e-11,"Adcyap1/Bdnf/Grm5/Gabra1/Snca/Cbln1/Grin2a/Gabra4/Neto1/Gabrb2/Grm1/Gabra3/Kcna1/Slc8a3/Rgs4/Gabra5/Chrna7",17,"Up","ARC"
"GO:0007611","learning or memory",0.118055555555556,0.019123634026141,2.39177837662274e-09,3.21061073850183e-07,2.50729460781567e-07,"Cck/Bdnf/Pmch/Grm5/Prkcg/Cnr1/Grm4/Grin2a/Htr2c/Neto1/Nrgn/Tac1/Pde1b/Slc8a3/Hrh3/Gabra5/Chrna7",17,"Up","ARC"
"GO:0050890","cognition",0.118055555555556,0.021373473323334,1.25593489577094e-08,1.19418476339554e-06,9.32586744973776e-07,"Cck/Bdnf/Pmch/Grm5/Prkcg/Cnr1/Grm4/Grin2a/Htr2c/Neto1/Nrgn/Tac1/Pde1b/Slc8a3/Hrh3/Gabra5/Chrna7",17,"Up","ARC"
"GO:0043269","regulation of monoatomic ion transport",0.118055555555556,0.0250696378830084,1.26897385737757e-07,7.42512395521951e-06,5.79857689754446e-06,"Adcyap1/Ptger3/Snca/Cnr1/Thy1/Kcnj11/Grin2a/Ryr2/Htr1a/Akap5/Hecw1/Dpp10/Hrh3/Rgs4/Kcnc1/Cacnb4/Atp2b2",17,"Up","ARC"
"GO:0015837","amine transport",0.111111111111111,0.00717805871009214,6.29491944567267e-15,1.4365006175025e-11,1.12182090752882e-11,"Grm2/Cck/Slc18a2/Ptger3/Snca/Cnr1/Trh/Htr2c/Htr1a/Grm1/Syt1/Hrh3/Rgs4/Syt2/Syt13/Chrna7",16,"Up","ARC"
"GO:0051952","regulation of amine transport",0.104166666666667,0.00664238268695093,3.7762756888896e-14,2.87248704068202e-11,2.24324026010179e-11,"Grm2/Cck/Ptger3/Snca/Cnr1/Trh/Htr2c/Htr1a/Grm1/Syt1/Hrh3/Rgs4/Syt2/Syt13/Chrna7",15,"Up","ARC"
"GO:0021537","telencephalon development",0.104166666666667,0.0203021212770516,2.46785419283384e-07,1.21222885342867e-05,9.466780980925e-06,"Lhx1/Fezf1/Grin2a/Rtn4rl1/Nrgn/Akap5/Slitrk5/Lef1/Nefh/Kcna1/Nefm/Slc17a6/Slc8a3/Kcnc1/Fezf2",15,"Up","ARC"
