ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,direction,tissue
GO:0034329,cell junction assembly,0.090367428,0.026301693,0.185336049,3.435802741,13.06068969,1.00E-25,5.58E-23,4.84E-23,Bdnf/Hapln4/Gabra1/Snca/Cbln1/Thy1/Cbln4/Elavl2/Gabra4/Lgi2/Gabrb2/Akap5/Slitrk5/Gabra3/Nptx1/Add2/Cdh8/Lzts3/Gabra5/Lrfn5/Lin7b/Oxtr/Slit2/Lrrtm2/Fgf13/Adgrb2/Gabrg2/Dnm3/Slitrk1/Gabra2/Lrrc4/Wnt7a/C1ql3/Sptbn2/LRRTM1/Il1rapl1/Fkrp/Cntnap2/Grin1/Numbl/Clstn2/Nrxn2/Srcin1/Snap25/Gria1/Patj/Cdh6/Icam5/Gabrb3/Psd/Nlgn1/Epb41l3/Erc2/Ptpro/Dscam/Cntnap1/Amigo2/Cacna1a/Efnb3/Map1b/Lrrc24/Lrrc4b/Shank2/Gabrg1/Arhgef9/Tbcd/Pcdh17/Flrt1/Stau2/Numb/Gpm6a/Clasp2/Clstn1/Gnpat/Nptxr/Rapgef2/Nphp4/Nrxn3/Ache/Nrg3/Dlg4/Coro2b/Ephb1/Vps35/Large1/Fbxo45/Ptk2b/Nectin1/Clstn3/Cfl1/Gprasp3,91,Up,ARC
GO:0048167,regulation of synaptic plasticity,0.078450844,0.019552175,0.216438356,4.012384541,13.87842096,5.23E-27,3.28E-24,2.84E-24,Grm2/Bdnf/Pmch/Grm5/Prkcg/Snca/Cbln1/Kcnq3/Grin2a/Penk/Neto1/Nrgn/Cyp46a1/Akap5/Prrt2/Slc8a3/Gnal/Chrna7/Atp2b2/Calb1/Lrrtm2/Slc24a2/Pak1/Calb2/Grin2b/Ncdn/Rasgrf2/Kalrn/Jph3/Syt7/LRRTM1/Vamp2/Rab3a/Ptpn5/Grin1/Camk2b/Dgki/Rims1/Brsk1/Snap25/Gria1/Unc13c/Map1a/Kcnn2/Rims4/Stxbp1/Neurl1/Sorcs2/Kat2a/Fgf14/Nlgn1/Erc2/Shisa9/Prkcz/Map1b/Rims3/Ppfia3/Cplx2/Shank2/Kcnq2/Epha4/Stau2/Nog/Sorcs3/Hras/Rapgef2/Prkar1b/Slc4a10/Dlg4/Large1/Nsg1/Cpeb3/Ptk2b/Ctnnd2/Mpp2/Dbn1/Camk2a/Syngap1/Cfl1,79,Up,ARC
GO:0007416,synapse assembly,0.075471698,0.012588387,0.323404255,5.995343236,18.40117721,7.97E-39,3.99E-35,3.47E-35,Bdnf/Hapln4/Gabra1/Snca/Cbln1/Cbln4/Elavl2/Gabra4/Lgi2/Gabrb2/Akap5/Slitrk5/Gabra3/Nptx1/Add2/Lzts3/Gabra5/Lrfn5/Oxtr/Slit2/Lrrtm2/Fgf13/Adgrb2/Gabrg2/Dnm3/Slitrk1/Gabra2/Lrrc4/Wnt7a/C1ql3/Sptbn2/LRRTM1/Il1rapl1/Cntnap2/Grin1/Numbl/Clstn2/Nrxn2/Srcin1/Snap25/Gria1/Icam5/Gabrb3/Psd/Nlgn1/Erc2/Dscam/Amigo2/Cacna1a/Efnb3/Map1b/Lrrc24/Lrrc4b/Shank2/Gabrg1/Arhgef9/Pcdh17/Flrt1/Stau2/Numb/Gpm6a/Clstn1/Gnpat/Nptxr/Nrxn3/Ache/Nrg3/Dlg4/Ephb1/Vps35/Large1/Fbxo45/Ptk2b/Nectin1/Clstn3/Gprasp3,76,Up,ARC
GO:0099003,vesicle-mediated transport in synapse,0.075471698,0.014945361,0.272401434,5.049841077,16.27441476,4.29E-33,1.08E-29,9.33E-30,Slc18a2/Hpca/Prkcg/Snca/Myo5b/Doc2a/Cplx1/Akap5/Prrt2/Syt1/Ppfia2/Slc17a6/Syt2/Cacnb4/Syn2/Cacna1e/Cacna1b/Syt9/Cadps/Dnm3/Sncb/Syn1/Napb/Atp6v1g2/Wnt7a/Sv2a/Syt7/Sptbn2/Rph3a/Vamp2/Rab3a/Vamp1/Btbd8/Rims1/Syt6/Brsk1/Snap25/Stxbp5/Amph/Ddc/Unc13c/Rims4/Stxbp1/Fgf14/Snap91/Nlgn1/Dnm1/Erc2/Syt10/Atp6v1e1/Cacna1a/Stx1b/Rims3/Ppfia3/Necap1/Cplx2/Apba1/Syne1/Pcdh17/Tspan7/Septin5/Numb/Stx1a/Mapk10/Synj1/Clstn1/Prkar1b/Ppp3r1/Ppp3cb/Pfn2/Rab27b/Vps35/Nsg1/Fbxo45/Camk2a/Sh3gl3,76,Up,ARC
GO:0006887,exocytosis,0.075471698,0.020837797,0.195372751,3.621865451,12.47824013,4.41E-23,1.58E-20,1.37E-20,Slc18a2/Prkcg/Snca/Cacna1i/Kcnq3/Myo5b/Doc2a/Vsnl1/Cplx1/Prrt2/Syt1/Ppfia2/Syt2/Syt13/Cacnb4/Rab26/Lin7b/Syn2/Cacna1e/Cacna1b/Syt9/Cadps/Nsf/Pak1/Syn1/Lin7a/Napb/Wnt7a/Sv2a/Syt7/Sptbn2/Rph3a/Vamp2/Il1rapl1/Rab3a/Glrx/Vamp1/Exoc5/Rims1/Syt6/Gnao1/Srcin1/Snap25/Stxbp5/Unc13c/Rims4/Stxbp1/Adra2a/Lgi3/Pex5l/Smpd3/Nlgn1/Erc2/Syt10/Syngr3/Cacna1a/Stx1b/Rims3/Ppfia3/Brsk2/Cplx2/Apba1/Kcnq2/Septin5/Ncam1/Stx1a/Clasp2/Synj1/Abr/Ppp3cb/Pfn2/Rab27b/Fbxo45/Exoc6b/Camk2a/Stam,76,Up,ARC
GO:0050890,cognition,0.074478649,0.021373473,0.187969925,3.484630145,11.97940268,9.84E-22,2.99E-19,2.59E-19,Cck/Bdnf/Pmch/Grm5/Prkcg/Cnr1/Grm4/Grin2a/Htr2c/Neto1/Nrgn/Tac1/Pde1b/Slc8a3/Hrh3/Gabra5/Chrna7/Scn2a/Calb1/Cacna1e/Oxtr/Shank1/Fgf13/Gpr158/Slc24a2/Pak1/Grin2b/Atp1a3/Slc12a5/Adcy3/B3gat1/Ttbk1/Kalrn/Jph3/Grm7/Pak5/Apbb1/Cntnap2/Grin1/Dgki/Clstn2/Brsk1/Nrxn2/Snap25/Amph/Rcan2/Oprl1/Gria1/Map1a/Kat2a/Gabrb3/Rapgef3/Ndrg4/Prkcz/Tmod2/Pde8b/Shank2/Kcnq2/Pak6/Nog/Ncam1/Sorcs3/Synj1/Prkar1b/Mtor/Mapk8ip2/Nrxn3/Plcb1/Large1/Cpeb3/Pcdh8/Ctnnd2/Clstn3/Syngap1/Gprasp3,75,Up,ARC
GO:0007611,learning or memory,0.073485601,0.019123634,0.207282913,3.842658811,12.94932609,3.91E-24,1.51E-21,1.31E-21,Cck/Bdnf/Pmch/Grm5/Prkcg/Cnr1/Grm4/Grin2a/Htr2c/Neto1/Nrgn/Tac1/Pde1b/Slc8a3/Hrh3/Gabra5/Chrna7/Scn2a/Calb1/Cacna1e/Oxtr/Shank1/Fgf13/Slc24a2/Pak1/Grin2b/Atp1a3/Slc12a5/Adcy3/B3gat1/Ttbk1/Kalrn/Jph3/Grm7/Pak5/Apbb1/Cntnap2/Grin1/Dgki/Clstn2/Brsk1/Nrxn2/Snap25/Amph/Rcan2/Oprl1/Gria1/Map1a/Kat2a/Gabrb3/Rapgef3/Ndrg4/Prkcz/Tmod2/Pde8b/Shank2/Kcnq2/Pak6/Nog/Ncam1/Sorcs3/Synj1/Prkar1b/Mtor/Mapk8ip2/Nrxn3/Plcb1/Large1/Cpeb3/Pcdh8/Ctnnd2/Clstn3/Syngap1/Gprasp3,74,Up,ARC
GO:0050803,regulation of synapse structure or activity,0.070506455,0.017088065,0.222570533,4.126064259,13.4471855,3.90E-25,1.95E-22,1.70E-22,Bdnf/Snca/Cbln1/Myo5b/Elavl2/Slitrk5/Cdh8/Ppfia2/Slc17a6/Lzts3/Chrna7/Lrfn5/Camkv/Oxtr/Slit2/Lrrtm2/Adgrb2/Gpr158/Dnm3/Nefl/Slitrk1/Grin2b/Wnt7a/C1ql3/Kalrn/LRRTM1/Il1rapl1/Grin1/Camk2b/Numbl/Clstn2/Srcin1/Snap25/Rims4/Neurl1/Dgkb/Tanc2/Icam5/Psd/Snap91/Nlgn1/Gria4/Ptpro/Cntnap1/Amigo2/Efnb3/Lrrc24/Rims3/Lrrc4b/Shank2/Epha4/Flrt1/Stau2/Numb/Cttnbp2/Gpm6a/Clstn1/Sybu/Ngef/Ctnna2/Dlg4/Ephb1/Vps35/Pcdh8/Ptk2b/Dbn1/Nectin1/Clstn3/Syngap1/Cfl1/Gprasp3,71,Up,ARC
GO:0006836,neurotransmitter transport,0.067527309,0.013070495,0.278688525,5.166392629,15.64254808,2.30E-30,2.88E-27,2.50E-27,Grm2/Slc18a2/Prkcg/Snca/Doc2a/Htr2c/Cplx1/Prrt2/Syt1/Slc6a15/Ppfia2/Slc17a6/Syt2/Cacnb4/Lin7b/Syn2/Cacna1e/Cacna1b/Syt9/Cadps/Gpr158/Pak1/Syn1/Slc6a17/Slc22a3/Lin7a/Napb/Wnt7a/Nat8l/Sv2a/Syt7/Sptbn2/Rph3a/Vamp2/Rab3a/Vamp1/Dgki/Rims1/Brsk1/Nrxn2/Nos1ap/Snap25/Stxbp5/Ddc/Unc13c/Rims4/Stxbp1/Slc29a2/Snap91/Nlgn1/Kcnc4/Erc2/Syt10/Syngr3/Cacna1a/Stx1b/Rims3/Ppfia3/Slc29a1/Cplx2/Apba1/Septin5/Stx1a/Synj1/Nrxn3/Pfn2/Fbxo45/Camk2a,68,Up,ARC
GO:0050807,regulation of synapse organization,0.06653426,0.016713092,0.21474359,3.980966567,12.67913808,7.54E-23,2.52E-20,2.19E-20,Bdnf/Snca/Cbln1/Myo5b/Elavl2/Slitrk5/Cdh8/Ppfia2/Lzts3/Chrna7/Lrfn5/Camkv/Oxtr/Slit2/Lrrtm2/Adgrb2/Gpr158/Dnm3/Nefl/Slitrk1/Grin2b/Wnt7a/C1ql3/Kalrn/LRRTM1/Il1rapl1/Grin1/Camk2b/Numbl/Clstn2/Srcin1/Snap25/Rims4/Neurl1/Dgkb/Tanc2/Icam5/Psd/Snap91/Nlgn1/Ptpro/Cntnap1/Amigo2/Efnb3/Lrrc24/Rims3/Lrrc4b/Shank2/Epha4/Flrt1/Stau2/Numb/Cttnbp2/Gpm6a/Clstn1/Ngef/Ctnna2/Dlg4/Ephb1/Vps35/Pcdh8/Ptk2b/Dbn1/Nectin1/Clstn3/Cfl1/Gprasp3,67,Up,ARC
