"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction","tissue"
"GO:0031346","positive regulation of cell projection organization",0.0457681692732291,0.0251232054853225,0.424307036247335,1.82174879316128,9.93144075622105,1.19613643547446e-20,4.99985030028324e-18,4.12562145989963e-18,"Adcyap1/Bdnf/Cnr1/Myo5b/Trpc5/Tenm2/Akap5/Serpini1/Islr2/L1cam/Dnm3/Pak1/Nefl/Atp8a2/Slitrk1/Fut9/Scn1b/Kalrn/Apbb1/Il1rapl1/Ptpn5/Grin1/Camk2b/Numbl/Tenm1/Enc1/Plxna1/Plxna4/Neurl1/Kat2a/Pcp4/Snap91/Sez6/Alk/Zmynd10/Nlgn1/Limk1/Stmn2/Dscam/Dixdc1/Ndrg4/Tubb2b/Map1b/Cntn1/Cx3cl1/Epha4/Ahi1/Stau2/Numb/Map2k1/Gpm6a/Ttbk2/Hras/Rapgef2/Rufy3/Mtor/Ache/Dlg4/Rit2/Ptk2b/Dbn1/Parp6/Ppp2r5b/Cfl1/Rgma/Gprasp3/Magi2/Rtn4/Caprin2/Mark4/Amigo1/Baiap2/Megf8/Ppp1r9a/Fkbp1b/Cdkl5/Plxna3/Nckipsd/Eps8/Dcc/Abl2/Tnik/Dzip1/Fbxo31/Ss18l1/Mapt/Kidins220/Hsp90aa1/Dvl1/Fez1/Pak3/Pafah1b1/Mfn2/Trak1/Map6/Sema5a/Tiam1/Cul7/Dmd/Arhgef7/Tbc1d24/Hap1/Cep120/Gdi1/Mns1/Tox/Gsk3b/Dhx36/Bmpr2/Ndel1/Rab21/Abi2/Nrxn1/Fscn1/Dpysl3/Bbs4/Arhgap35/Clip1/Dynll1/Ppp1r35/Coro1c/Fyn/Shoc2/Golga2/Dnm1l/Rnd2/Actr2/Ccdc88a/Efna5/Kctd17/Rapgef1/Palm/Stk25/Ehd1/Atp5mc1/Nptn/Ntrk3/Cdh4/Ranbp1/Wasl/Nin/Marcks/Tmem30a/Agt/Srf/Cpeb1/Adnp/Elavl4/Cobl/Nme1/Septin7/Rrn3/Rac1/Braf/Fig4/Tenm3/Golga4/Qki/Serpine2/Robo2/Nckap1/Mfn1/Pqbp1/Zeb2/Pum2/Ap2a1/Apc/Gprc5b/Acsl6/Plxna2/Itga6/Plxnc1/Zfyve27/Neu1/Anapc2/Enpp2/Ptprz1/Htt/Wrap73/Hdac6/Actr3/Ist1/Tmem106b/Plxnb1/Eef2k/Nrdc/Prkci/Nf1/Ntrk2/Katnb1/Mif/Itpr1/Apoe/Negr1/Mien1/Setx/Ddr1/Macf1/Nme2",199,"Up","ARC"
"GO:0034329","cell junction assembly",0.0434682612695492,0.0263016927362331,0.384928716904277,1.65267922887972,8.07588185134309,1.60919353666751e-14,2.58708807048853e-12,2.13473312624043e-12,"Bdnf/Hapln4/Gabra1/Snca/Cbln1/Thy1/Cbln4/Elavl2/Gabra4/Lgi2/Gabrb2/Akap5/Slitrk5/Gabra3/Nptx1/Add2/Cdh8/Lzts3/Gabra5/Lrfn5/Lin7b/Oxtr/Slit2/Lrrtm2/Fgf13/Adgrb2/Gabrg2/Dnm3/Slitrk1/Gabra2/Lrrc4/Wnt7a/C1ql3/Sptbn2/LRRTM1/Il1rapl1/Fkrp/Cntnap2/Grin1/Numbl/Clstn2/Nrxn2/Srcin1/Snap25/Gria1/Patj/Cdh6/Icam5/Gabrb3/Psd/Nlgn1/Epb41l3/Erc2/Ptpro/Dscam/Cntnap1/Amigo2/Cacna1a/Efnb3/Map1b/Lrrc24/Lrrc4b/Shank2/Gabrg1/Arhgef9/Tbcd/Pcdh17/Flrt1/Stau2/Numb/Gpm6a/Clasp2/Clstn1/Gnpat/Nptxr/Rapgef2/Nphp4/Nrxn3/Ache/Nrg3/Dlg4/Coro2b/Ephb1/Vps35/Large1/Fbxo45/Ptk2b/Nectin1/Clstn3/Cfl1/Gprasp3/Iqsec1/Magi2/Nlgn3/Lrrn1/Pclo/Amigo1/Lrfn1/Ppp1r9a/Kirrel3/Lrrn3/Gphn/Prkaca/Ank2/Rock2/Mdga2/Mpdz/Sema4a/Mapt/Bsn/Dvl1/Mdga1/Capza1/Dmtn/Dusp3/Cdh18/Eif4g1/Cdh13/Mecp2/Lrrtm3/Tsc1/Dst/Gsk3b/Sdk2/Abi2/Pdpk1/Nrxn1/Fscn1/Slc39a9/Ptprs/Slc25a46/Efnb2/Cdh22/Mycbp2/Flot1/Gap43/Coro1c/Adgrb1/Limch1/Clasp1/Efna5/Setd5/Adgrb3/Asic2/Rapgef1/Ocel1/Esam/Nptn/Ntrk3/Pdcd6ip/Poldip2/Nedd4l/Agt/Adgrl1/Srf/Adnp/Cdh20/Sipa1l1/Rac1/Zdhhc2/Lingo2/Rcc2/Adgrl3/Nfasc/Myo9a/Wdpcp/Ramp2/Gpm6b/Ptprj/Erbb4/Cadm1/Dlg5/Vmp1/Ptpn11/Tpbg/Ptk2/Enpp2/Epha7/Cdk5/Ptpra/Flrt2/Actr3/Plxnb1/Eef2k/Ntrk2/App/Negr1/Macf1/Ephb3",189,"Up","ARC"
"GO:0006914","autophagy",0.0418583256669733,0.0265695307478037,0.366935483870968,1.57542585393358,7.15713761094743,7.04575311633142e-12,5.89024960525307e-10,4.86033355323073e-10,"Snca/Bid/Lrsam1/RragB/Gpr137/Wdr41/Mul1/Pip4k2b/Bok/Hmga1/Map2k1/Ubxn2b/Gabarapl1/Fbxw7/Mtmr4/Mtor/Tbk1/Usp13/Vti1a/Wdfy3/Retreg2/Klhl22/Cptp/Syt11/Scoc/Myo5a/Trim23/Gsk3a/Wdr47/Cdk16/Pik3cb/Vps13d/Atg9a/Mapt/Depdc5/Wdr45b/Atp2a2/Hsp90aa1/Fez1/Usp20/Gpsm1/Atp13a2/Arl8b/Mfn2/Vps11/Wdr6/Rimoc1/Ubqln1/Eif4g1/Gabarapl2/Chmp6/Dapk1/Ulk1/Hap1/Tsc1/Chmp4b/Atg4d/Gaa/Mtcl1/Calm2/Atp6v0a1/Gsk3b/Tecpr1/Rnf185/Atg4b/Herc1/Trappc4/Calm1/Sqstm1/Pip4k2a/Ddit3/Pik3r4/Calm3/Ubxn6/Pex5/Rnf166/Golga2/Dnm1l/Map1lc3a/Stx12/Lix1/Pink1/Ubqln2/Rb1cc1/Nsfl1c/Chmp7/Rab23/Tmem41b/Huwe1/Usp10/Htra2/Rab3gap1/Slc25a4/Tbc1d14/Pdcd6ip/Ilrun/Rptor/Svip/Trim32/Vps13c/Poldip2/Sesn1/Rab1a/Aup1/Atg2a/Srebf2/Scfd1/Atp5if1/Ulk2/Gramd1a/Hsp90ab1/Becn1/Chmp1a/Keap1/Retreg1/Vps33a/Kat5/Ctsd/Plaa/Bnip3l/Vps4a/Qsox1/Snx4/Uba5/Map3k7/Lrba/Pafah1b2/Acvr2a/Clu/Pik3r2/Tafazzin/Rraga/Mfsd8/Acer2/Bag3/Vmp1/Emc6/Phb2/Pik3c3/Fkbp8/Vps16/Phf23/Tollip/Rubcn/Foxk2/Snapin/Ptk2/Fundc2/Htt/Mtmr9/Ehmt2/Hdac6/Vdac1/Usp33/Stub1/Nbr1/Deptor/Rmc1/Setd2/Map1lc3b/Mapk3/Larp1/Mtm1/Akt1/Bmal1/Fundc1/Snx14/Vps39/Tom1/Parl/Atg12/Vti1b/Sesn3/Wac/Vps41/Tomm7/Ccny/Atg16l1/Csnk2a2/Cisd1/Rnf41/Cdc37",182,"Up","ARC"
"GO:0061919","process utilizing autophagic mechanism",0.0418583256669733,0.0265695307478037,0.366935483870968,1.57542585393358,7.15713761094743,7.04575311633142e-12,5.89024960525307e-10,4.86033355323073e-10,"Snca/Bid/Lrsam1/RragB/Gpr137/Wdr41/Mul1/Pip4k2b/Bok/Hmga1/Map2k1/Ubxn2b/Gabarapl1/Fbxw7/Mtmr4/Mtor/Tbk1/Usp13/Vti1a/Wdfy3/Retreg2/Klhl22/Cptp/Syt11/Scoc/Myo5a/Trim23/Gsk3a/Wdr47/Cdk16/Pik3cb/Vps13d/Atg9a/Mapt/Depdc5/Wdr45b/Atp2a2/Hsp90aa1/Fez1/Usp20/Gpsm1/Atp13a2/Arl8b/Mfn2/Vps11/Wdr6/Rimoc1/Ubqln1/Eif4g1/Gabarapl2/Chmp6/Dapk1/Ulk1/Hap1/Tsc1/Chmp4b/Atg4d/Gaa/Mtcl1/Calm2/Atp6v0a1/Gsk3b/Tecpr1/Rnf185/Atg4b/Herc1/Trappc4/Calm1/Sqstm1/Pip4k2a/Ddit3/Pik3r4/Calm3/Ubxn6/Pex5/Rnf166/Golga2/Dnm1l/Map1lc3a/Stx12/Lix1/Pink1/Ubqln2/Rb1cc1/Nsfl1c/Chmp7/Rab23/Tmem41b/Huwe1/Usp10/Htra2/Rab3gap1/Slc25a4/Tbc1d14/Pdcd6ip/Ilrun/Rptor/Svip/Trim32/Vps13c/Poldip2/Sesn1/Rab1a/Aup1/Atg2a/Srebf2/Scfd1/Atp5if1/Ulk2/Gramd1a/Hsp90ab1/Becn1/Chmp1a/Keap1/Retreg1/Vps33a/Kat5/Ctsd/Plaa/Bnip3l/Vps4a/Qsox1/Snx4/Uba5/Map3k7/Lrba/Pafah1b2/Acvr2a/Clu/Pik3r2/Tafazzin/Rraga/Mfsd8/Acer2/Bag3/Vmp1/Emc6/Phb2/Pik3c3/Fkbp8/Vps16/Phf23/Tollip/Rubcn/Foxk2/Snapin/Ptk2/Fundc2/Htt/Mtmr9/Ehmt2/Hdac6/Vdac1/Usp33/Stub1/Nbr1/Deptor/Rmc1/Setd2/Map1lc3b/Mapk3/Larp1/Mtm1/Akt1/Bmal1/Fundc1/Snx14/Vps39/Tom1/Parl/Atg12/Vti1b/Sesn3/Wac/Vps41/Tomm7/Ccny/Atg16l1/Csnk2a2/Cisd1/Rnf41/Cdc37",182,"Up","ARC"
"GO:0006397","mRNA processing",0.0416283348666053,0.0239447182344118,0.404921700223714,1.73851846820982,8.70842348205523,1.99777017126979e-16,4.17533965795385e-14,3.44527733045298e-14,"Adarb2/Srrm4/Rbfox1/Rbfox3/Adarb1/Celf5/Nova1/Celf4/Nova2/Scaf1/Zrsr2/Coil/Habp4/Prpf4/Zrsr2-ps1/Rbm4b/Ptbp2/Txnl4a/Rnasel/Nol3/Ddx1/Prkaca/Csdc2/Celf2/Jmjd6/Mfap1a/Isy1/Celf6/Tcerg1/Prmt5/Adar/Htatsf1/Arl6ip4/Aplp1/Upf3b/Snrpa1/Rprd1a/Rbpms2/Chd8/Ncbp1/Dhx36/Wdr83/Dcps/Cpsf2/Zmat2/Puf60/Rnmt/Psip1/Srpk2/Sart3/Rngtt/Phrf1/Supt6h/Snrnp25/Sf3a3/Cstf2/Zcrb1/Srpk1/Wbp11/Cpsf3/Cwc15/Txnl4b/Thoc2l/Cstf1/Larp7/Ik/Hnrnpa1/Exosc10/Cdk9/St3gal4/Wdr33/Obi1/Fra10ac1/Rbm17/Srrm1/Lsm2/Dazap1/Clns1a/Thoc7/Zfp64/Prpf40b/Hnrnpl/Scaf8/Phf5a/Slu7/Zfp326/Tsen15/Usp4/Cpeb1/Zbtb7a/Elavl4/Sf3a1/Ctnnbl1/C3h9orf78/Thoc5/Cmtr1/C1qbp/Mettl14/Prpf19/Snu13/Tent4b/Cdc5l/Fip1l1/Eftud2/Trub2/Rbm8a/Mbnl2/Snrpf/Sart1/Qki/Ythdc1/Prpf18/Prpf38b/Hnrnpc/Pqbp1/Dhx38/Smn1/Zranb2/Lsm5/Mettl16/Khdrbs3/Sf3b1/Lsm4/Snrpb2/Srsf5/Ddx41/Aqr/Hnrnpu/Ssu72/Ddx39b/Lsm7/Wbp4/Leo1/Hnrnpa3/Srsf7/Snrnp35/Pcbp4/Luc7l2/Rsrc1/Mettl3/Papola/Cwf19l2/Nudt21/Rbm6/Celf1/Wtap/Tia1/Cdk13/Rbfox2/Snrpd1/Yju2/Ppie/Srsf12/Khdrbs1/Snrnp27/Lsm10/Plrg1/Scaf11/Luc7l3/Snrpd3/Gpkow/U2af1/Cir1/Nono/Luc7l/Cdk11b/App/Hnrnph1/Cirbp/Tardbp/Upf3a/Setx/Cnot6l/Ppil1/Crnkl1/Snrnp70/Eif4a3/Ncl/Cstf2t/Clasrp/Rbm27",181,"Up","ARC"
"GO:0072594","establishment of protein localization to organelle",0.0409383624655014,0.024908935076066,0.382795698924731,1.64352118388383,7.74334059299544,1.69792027449606e-13,2.0473000232866e-11,1.68932756055631e-11,"Kcnq3/Grin2a/Ryr2/Akap5/Srprb/Cacng2/Bid/Lrsam1/Pkia/Prickle1/Sgtb/Ptpn5/Mapk9/Pex5l/Arxes1/Vps37d/Timm29/Ablim3/Ruvbl2/Kcnq2/Atf2/Snx16/Timm21/Fbxw7/Ppp3r1/Ppp2ca/Kpna6/Timm10/Stam/Cfl1/Bap1/Kpnb1/Ppp3ca/Gsk3a/Tomm40l/Il33/Nol3/Tnpo3/Tomm34/Timm17a/Vps13d/Pom121/Mapt/Gga3/Kpna1/Cbl/Vps53/Hsp90aa1/Tspan17/Tomm40/Nup50/Pex1/Mfn2/Zfp827/Nutf2/Adar/Vps11/Ipo7/Mapk1/Pam16/Chmp4b/Tomm5/Hsph1/Agap3/Trim37/Ran/Mterf4/Calm2/Bag6/Tomm20/Fgf9/Ptpn23/Wbp2/Ranbp6/Calm1/Sqstm1/Ddit3/Pik3r4/Sae1/Zfand2b/Cct3/Nup58/Fam53a/Calm3/Srp68/Snupn/Ywhaz/Pex5/Appl1/Npepps/Pink1/Hk1/Ipo13/Timm9/Rab23/Timm13/Gdap1/Hgs/Vps28/Huwe1/Htra2/Srp19/Rab3gap1/Lonp2/Ipo4/Ppp2r2b/Mtch2/Srebf2/Agt/Nolc1/Atp5if1/Ap3d1/Cct5/Hsp90ab1/Cct8/Ipo9/Ipo5/Ing1/Vps36/Stk4/M6pr/Srp54a/Cct2/Mff/Hspa4/Nup153/Sgta/Nup214/Ube2d3/Bnip3l/Vps4a/Pdcd5/Akirin2/Pex3/Trim28/Clu/Tsg101/Pik3r2/Bag3/Ube2l3/Srp9/Phb2/Sec61a2/Sec62/Dnajc19/Aip/Kpna3/Cct7/Dnlz/Get1/Nabp2/Tnpo2/Cry2/Rab11a/Sumo1/Timm22/Nf1/Gcc2/Mtch1/Vps37c/Aifm1/Akt1/Bmal1/Syk/Usp9x/Pex19/Kpna4/Parl/Hspd1/Tardbp/Pmpca/Nup35/Hdac3/Macf1/Vps41/Tomm7/Csnk2a2/Elavl1",178,"Up","ARC"
"GO:0050890","cognition",0.0395584176632935,0.021373473323334,0.431077694235589,1.85081839834176,9.46621698249377,7.64622564603701e-19,2.66343526670289e-16,2.19773093861239e-16,"Cck/Bdnf/Pmch/Grm5/Prkcg/Cnr1/Grm4/Grin2a/Htr2c/Neto1/Nrgn/Tac1/Pde1b/Slc8a3/Hrh3/Gabra5/Chrna7/Scn2a/Calb1/Cacna1e/Oxtr/Shank1/Fgf13/Gpr158/Slc24a2/Pak1/Grin2b/Atp1a3/Slc12a5/Adcy3/B3gat1/Ttbk1/Kalrn/Jph3/Grm7/Pak5/Apbb1/Cntnap2/Grin1/Dgki/Clstn2/Brsk1/Nrxn2/Snap25/Amph/Rcan2/Oprl1/Gria1/Map1a/Kat2a/Gabrb3/Rapgef3/Ndrg4/Prkcz/Tmod2/Pde8b/Shank2/Kcnq2/Pak6/Nog/Ncam1/Sorcs3/Synj1/Prkar1b/Mtor/Mapk8ip2/Nrxn3/Plcb1/Large1/Cpeb3/Pcdh8/Ctnnd2/Clstn3/Syngap1/Gprasp3/Asic1/Cacna1c/Nlgn3/Syt11/Chl1/Ap1s2/Fzd9/Gpr88/Jakmip1/Mgat3/B4galt2/Tnr/Abl2/Mapt/Pafah1b1/Kmt2a/Pde4d/Ddhd2/Tuba1a/Gpi/Mecp2/Tsc1/Dtnbp1/Ppp1r9b/Ythdf1/Atp8a1/Thra/Pdcd10/Chd8/Ckap5/Ube3a/Cic/Abi2/Vdac3/Nrxn1/Git1/Dop1b/Jph4/Hmgcr/Pja2/Adora1/Grcc10/Ppp1r1b/Prnp/Glud1/Btbd9/Nr4a2/Actr2/Acss2/Slc1a1/S100b/Setd5/Adgrb3/Crebbp/St3gal4/Brinp1/Tusc3/Psen2/Nptn/Pomk/Kras/Agt/Srf/Adnp/Elavl4/Rcan1/Sobp/Braf/Syt4/Slc11a2/Zzef1/Gnas/Tpbg/Prkar2b/Hrh1/Ptprz1/Htt/Ehmt2/Cdk5/Synpo/Ndufs4/Vdac1/Mfsd2a/Amfr/Pias1/Nf1/Comt/Uba6/Ntrk2/Rp9/Ppt1/Apoe/App/Slc6a1/Eif2ak4/Idua/Eif4a3",172,"Up","ARC"
"GO:0022613","ribonucleoprotein complex biogenesis",0.0395584176632935,0.0246410970644954,0.373913043478261,1.60538378464861,7.24417778340638,4.4550788619202e-12,3.99047778060566e-10,3.29273873779515e-10,"Rpusd1/Celf5/Celf4/Rrs1/Ruvbl2/Exosc3/Zrsr2/Coil/Wdr3/Prkdc/Fcf1/Ptbp2/Tsr2/Rrp8/Zfp622/Noc2l/Sdad1/Abt1/Rbm34/Ago2/Ftsj3/Rnasel/Nol3/Eif2a/Aatf/Celf2/Fbll1/Isy1/Celf6/Hsp90aa1/C1d/Prmt5/Exosc8/Eri3/Adar/Prkra/Htatsf1/Nhp2/Rbfa/Rpf2/Las1l/Wdr75/Utp11/Ddx27/Eral1/Wdr43/Nop56/Ran/Mterf4/Ddx54/Ckap5/Ncbp1/Xpo1/Taf9/Mettl5/Wdr12/Wdr18/Rrp7a/Puf60/Mrm2/Psip1/Ddx10/Srpk2/Pelp1/Sart3/Ruvbl1/Ebna1bp2/Malsu1/Denr/Sf3a3/Rcl1/Nop16/Srpk1/Naf1/Wbp11/Srfbp1/Tsr1/Nufip1/Rrp15/Tsr3/Exosc10/Rexo4/Mtrex/Eif5/Cinp/Nat10/Eif3g/Lsm2/Clns1a/Nop58/Mcts1/Wdr36/Rrp1/Slu7/Noc4l/Usp4/Rrp12/Mybbp1a/Sf3a1/Nifk/Exosc9/C1qbp/Hsp90ab1/Prpf19/Snu13/Pin4/Bms1/Rrn3/C19h1orf131/Retreg1/Snrpf/Abce1/Sart1/Riok2/Pes1/Dnttip2/Ythdc1/Prpf18/Brix1/Smn1/Mrps7/Esf1/Sf3b1/Lsm4/Nol6/Nsa2/Utp3/Rps21/Mrps2/Nop10/Lsg1/Ddx39b/Npm3/Nol8/Utp18/Rps19bp1/Znhit6/Pop4/Luc7l2/Mrpl20/Nudt21/Ago3/Pa2g4/Celf1/Mief1/Ddx52/Ythdf2/Snrpd1/Yju2/Srsf12/Zfp593/Nop14/Scaf11/Luc7l3/Snrpd3/Slx9/Ngrn/Eif3a/Rsl24d1/Gtf2h5/Ddx21/Wdr46/Luc7l/Utp14a/Setx/Crnkl1/Eif3f/Eif4a3/Ncl/Nol7/Rpl5/Gar1",172,"Up","ARC"
"GO:0051656","establishment of organelle localization",0.0386384544618215,0.0246946646668095,0.364425162689805,1.56464786961667,6.76424739337869,8.48912641030767e-11,5.4313084278193e-09,4.48163870103783e-09,"Slc18a2/Snca/Myo5b/Nefh/Ppfia2/Dync1i1/Cadps/Dnm3/Nefl/Lin7a/Rab3a/Btbd8/Rims1/Syt6/Kif5a/Snap25/Unc13c/Stxbp1/Tanc2/Smpd3/Snap91/Mcph1/Nlgn1/Dnm1/Trappc12/Syt10/Dpysl2/Prkcz/Rrs1/Mapk8/Map1b/Madd/Cplx2/Syne1/Ahi1/Map2k1/Clasp2/Ubxn2b/Synj1/Sybu/Wasf1/Exoc6b/Stam/Cfl1/Sdad1/Syt11/Ap1s2/Zwint/Kpnb1/Pclo/Myo5a/Ap3m2/Ap3b2/Arhgap21/Map1s/Cnih2/Map2/Atp9a/Kif1a/Hsbp1/Mapt/Cbl/Fez1/Gpsm1/Atp13a2/Spry2/Pafah1b1/Spire1/Trim46/Spast/Trak1/Map6/Actr10/Tuba1a/Agtpbp1/Kif1b/Chmp6/Cadps2/Hap1/Cep120/Mecp2/Dtnbp1/Chmp4b/Stx2/Dctn1/Pdcd10/Ap1g1/Ran/Xpo1/Clmn/Uchl1/Fbxw11/Mis12/Ripor1/Ndel1/Pdpk1/Bloc1s2/Cops5/Bloc1s4/Dynll1/Ywhaz/Limk2/Dnm1l/Tfg/Ykt6/Nsfl1c/Clasp1/Chmp7/Pibf1/Dctn2/Hgs/Sun2/Stk25/Cdc23/Ap3s2/Dync1h1/Pdcd6ip/Bicd2/Rab1a/Wasl/Trip11/Bicd1/Ap3d1/Wdr11/Becn1/Copg2/Ccdc186/Chmp1a/Abce1/Riok2/Kat5/Rcc2/Arf1/Vps4a/Syt4/Bod1/Snx4/Cltb/Champ1/Hnrnpu/Map4/Nppc/Tsg101/Apc/Lsg1/Rhot2/Rab11b/Snapin/Ptk2/Ube2b/Htt/Ttl/Cdk5/Rab11a/Myh10/Hdac6/Llgl1/Nectin2/F8a1/Cdc42bpa/Bloc1s5/Pkd1/Cul3/Syk/Cep19/Rb1/Hdac3/Tesk1",168,"Up","ARC"
"GO:0016358","dendrite development",0.0381784728610856,0.0176773087636597,0.503030303030303,2.15974464051741,11.7126153878995,4.71924537077895e-27,7.397417118696e-24,6.10397131509962e-24,"Bdnf/Myo5b/Trpc5/Akap5/Slitrk5/Hecw1/Ppfia2/Lzts3/Fezf2/Chrna7/Shank1/Dnm3/Pak1/Grin3a/Sult4a1/Slc12a5/Wnt7a/Prickle1/Dpysl5/Kalrn/Actl6b/Il1rapl1/Cntnap2/Grin1/Camk2b/Numbl/Kndc1/Srcin1/Map1a/Neurl1/Tanc2/Dgkg/Sez6/Alk/Nlgn1/Dscam/Gpr37/Mapk8/Cacna1a/Map1b/Syne1/Epha4/Flrt1/Stau2/Numb/Cc2d1a/Hecw2/Ywhah/Rapgef2/Ngef/Mtor/Mapk8ip2/Acsl4/Cit/Ache/Ctnna2/Dlg4/Ephb1/Cpeb3/Ctnnd2/Dbn1/Parp6/Camk2a/Dclk1/Syngap1/Cfl1/Gprasp3/Iqsec1/Nlgn3/Caprin2/Baiap2/Ppp3ca/Gsk3a/Ppp1r9a/Cdkl5/Map1s/Rock2/Map2/Abl2/Mpdz/Tnik/Kif1a/Fbxo31/Ss18l1/Kidins220/Dvl1/Pak3/Pafah1b1/Mfn2/Spire1/Camsap2/Trak1/Map6/Tiam1/Cul7/Tbc1d24/Itsn1/Mecp2/Dtnbp1/Celsr2/Ppp1r9b/Strn/Slc9a6/Gsk3b/Dhx36/Ube3a/Trappc4/Dip2a/Rab21/Abi2/Phactr1/Btbd3/Git1/Ptprs/Bbs4/Slc25a46/Clip1/Hprt1/Fyn/Dnm1l/Actr2/Abi1/Adgrb3/Crebbp/Palm/Mapk6/Nsmf/Arhgap44/Wasl/Marcks/Nedd4l/Elavl4/Sipa1l1/Cobl/Septin7/Rac1/Arf1/Cyth2/Mfn1/Asap1/Pqbp1/Slc11a2/Fstl4/Dlg5/Tpbg/Hdac2/Anapc2/Ptprz1/Cdk5/Hdac6/Actr3/Mfsd2a/Rbfox2/Bbs1/Tmem106b/Eef2k/Uba6/Ntrk2/Itpr1/Apoe/App/Nr3c1/Rere/Klf7/Mef2a/Ephb3",166,"Up","ARC"
