"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction","tissue"
"GO:0034329","cell junction assembly",0.0903674280039722,0.0263016927362331,0.185336048879837,3.4358027412997,13.0606896888716,1.00111688892558e-25,5.57733342341428e-23,4.83814618133391e-23,"Bdnf/Hapln4/Gabra1/Snca/Cbln1/Thy1/Cbln4/Elavl2/Gabra4/Lgi2/Gabrb2/Akap5/Slitrk5/Gabra3/Nptx1/Add2/Cdh8/Lzts3/Gabra5/Lrfn5/Lin7b/Oxtr/Slit2/Lrrtm2/Fgf13/Adgrb2/Gabrg2/Dnm3/Slitrk1/Gabra2/Lrrc4/Wnt7a/C1ql3/Sptbn2/LRRTM1/Il1rapl1/Fkrp/Cntnap2/Grin1/Numbl/Clstn2/Nrxn2/Srcin1/Snap25/Gria1/Patj/Cdh6/Icam5/Gabrb3/Psd/Nlgn1/Epb41l3/Erc2/Ptpro/Dscam/Cntnap1/Amigo2/Cacna1a/Efnb3/Map1b/Lrrc24/Lrrc4b/Shank2/Gabrg1/Arhgef9/Tbcd/Pcdh17/Flrt1/Stau2/Numb/Gpm6a/Clasp2/Clstn1/Gnpat/Nptxr/Rapgef2/Nphp4/Nrxn3/Ache/Nrg3/Dlg4/Coro2b/Ephb1/Vps35/Large1/Fbxo45/Ptk2b/Nectin1/Clstn3/Cfl1/Gprasp3",91,"Up","ARC"
"GO:0048167","regulation of synaptic plasticity",0.0784508440913605,0.019552174844654,0.216438356164384,4.01238454108909,13.8784209594893,5.22542640639362e-27,3.2750360002072e-24,2.84098183042348e-24,"Grm2/Bdnf/Pmch/Grm5/Prkcg/Snca/Cbln1/Kcnq3/Grin2a/Penk/Neto1/Nrgn/Cyp46a1/Akap5/Prrt2/Slc8a3/Gnal/Chrna7/Atp2b2/Calb1/Lrrtm2/Slc24a2/Pak1/Calb2/Grin2b/Ncdn/Rasgrf2/Kalrn/Jph3/Syt7/LRRTM1/Vamp2/Rab3a/Ptpn5/Grin1/Camk2b/Dgki/Rims1/Brsk1/Snap25/Gria1/Unc13c/Map1a/Kcnn2/Rims4/Stxbp1/Neurl1/Sorcs2/Kat2a/Fgf14/Nlgn1/Erc2/Shisa9/Prkcz/Map1b/Rims3/Ppfia3/Cplx2/Shank2/Kcnq2/Epha4/Stau2/Nog/Sorcs3/Hras/Rapgef2/Prkar1b/Slc4a10/Dlg4/Large1/Nsg1/Cpeb3/Ptk2b/Ctnnd2/Mpp2/Dbn1/Camk2a/Syngap1/Cfl1",79,"Up","ARC"
"GO:0007416","synapse assembly",0.0754716981132075,0.0125883865438183,0.323404255319149,5.99534323564833,18.4011772111751,7.96746536926527e-39,3.9948871361496e-35,3.4654280953478e-35,"Bdnf/Hapln4/Gabra1/Snca/Cbln1/Cbln4/Elavl2/Gabra4/Lgi2/Gabrb2/Akap5/Slitrk5/Gabra3/Nptx1/Add2/Lzts3/Gabra5/Lrfn5/Oxtr/Slit2/Lrrtm2/Fgf13/Adgrb2/Gabrg2/Dnm3/Slitrk1/Gabra2/Lrrc4/Wnt7a/C1ql3/Sptbn2/LRRTM1/Il1rapl1/Cntnap2/Grin1/Numbl/Clstn2/Nrxn2/Srcin1/Snap25/Gria1/Icam5/Gabrb3/Psd/Nlgn1/Erc2/Dscam/Amigo2/Cacna1a/Efnb3/Map1b/Lrrc24/Lrrc4b/Shank2/Gabrg1/Arhgef9/Pcdh17/Flrt1/Stau2/Numb/Gpm6a/Clstn1/Gnpat/Nptxr/Nrxn3/Ache/Nrg3/Dlg4/Ephb1/Vps35/Large1/Fbxo45/Ptk2b/Nectin1/Clstn3/Gprasp3",76,"Up","ARC"
"GO:0099003","vesicle-mediated transport in synapse",0.0754716981132075,0.0149453610456396,0.272401433691756,5.04984107662136,16.2744147612157,4.28809292953026e-33,1.07502489743324e-29,9.32547367622055e-30,"Slc18a2/Hpca/Prkcg/Snca/Myo5b/Doc2a/Cplx1/Akap5/Prrt2/Syt1/Ppfia2/Slc17a6/Syt2/Cacnb4/Syn2/Cacna1e/Cacna1b/Syt9/Cadps/Dnm3/Sncb/Syn1/Napb/Atp6v1g2/Wnt7a/Sv2a/Syt7/Sptbn2/Rph3a/Vamp2/Rab3a/Vamp1/Btbd8/Rims1/Syt6/Brsk1/Snap25/Stxbp5/Amph/Ddc/Unc13c/Rims4/Stxbp1/Fgf14/Snap91/Nlgn1/Dnm1/Erc2/Syt10/Atp6v1e1/Cacna1a/Stx1b/Rims3/Ppfia3/Necap1/Cplx2/Apba1/Syne1/Pcdh17/Tspan7/Septin5/Numb/Stx1a/Mapk10/Synj1/Clstn1/Prkar1b/Ppp3r1/Ppp3cb/Pfn2/Rab27b/Vps35/Nsg1/Fbxo45/Camk2a/Sh3gl3",76,"Up","ARC"
"GO:0006887","exocytosis",0.0754716981132075,0.0208377973001928,0.195372750642674,3.62186545084154,12.4782401257733,4.41286966824999e-23,1.5804377511861e-20,1.37097574956458e-20,"Slc18a2/Prkcg/Snca/Cacna1i/Kcnq3/Myo5b/Doc2a/Vsnl1/Cplx1/Prrt2/Syt1/Ppfia2/Syt2/Syt13/Cacnb4/Rab26/Lin7b/Syn2/Cacna1e/Cacna1b/Syt9/Cadps/Nsf/Pak1/Syn1/Lin7a/Napb/Wnt7a/Sv2a/Syt7/Sptbn2/Rph3a/Vamp2/Il1rapl1/Rab3a/Glrx/Vamp1/Exoc5/Rims1/Syt6/Gnao1/Srcin1/Snap25/Stxbp5/Unc13c/Rims4/Stxbp1/Adra2a/Lgi3/Pex5l/Smpd3/Nlgn1/Erc2/Syt10/Syngr3/Cacna1a/Stx1b/Rims3/Ppfia3/Brsk2/Cplx2/Apba1/Kcnq2/Septin5/Ncam1/Stx1a/Clasp2/Synj1/Abr/Ppp3cb/Pfn2/Rab27b/Fbxo45/Exoc6b/Camk2a/Stam",76,"Up","ARC"
"GO:0050890","cognition",0.0744786494538232,0.021373473323334,0.18796992481203,3.48463014537336,11.979402682849,9.84042520207315e-22,2.98743794063419e-19,2.59150034024741e-19,"Cck/Bdnf/Pmch/Grm5/Prkcg/Cnr1/Grm4/Grin2a/Htr2c/Neto1/Nrgn/Tac1/Pde1b/Slc8a3/Hrh3/Gabra5/Chrna7/Scn2a/Calb1/Cacna1e/Oxtr/Shank1/Fgf13/Gpr158/Slc24a2/Pak1/Grin2b/Atp1a3/Slc12a5/Adcy3/B3gat1/Ttbk1/Kalrn/Jph3/Grm7/Pak5/Apbb1/Cntnap2/Grin1/Dgki/Clstn2/Brsk1/Nrxn2/Snap25/Amph/Rcan2/Oprl1/Gria1/Map1a/Kat2a/Gabrb3/Rapgef3/Ndrg4/Prkcz/Tmod2/Pde8b/Shank2/Kcnq2/Pak6/Nog/Ncam1/Sorcs3/Synj1/Prkar1b/Mtor/Mapk8ip2/Nrxn3/Plcb1/Large1/Cpeb3/Pcdh8/Ctnnd2/Clstn3/Syngap1/Gprasp3",75,"Up","ARC"
"GO:0007611","learning or memory",0.0734856007944389,0.019123634026141,0.207282913165266,3.84265881129016,12.9493260874851,3.91302761390749e-24,1.5092246504717e-21,1.30920081786767e-21,"Cck/Bdnf/Pmch/Grm5/Prkcg/Cnr1/Grm4/Grin2a/Htr2c/Neto1/Nrgn/Tac1/Pde1b/Slc8a3/Hrh3/Gabra5/Chrna7/Scn2a/Calb1/Cacna1e/Oxtr/Shank1/Fgf13/Slc24a2/Pak1/Grin2b/Atp1a3/Slc12a5/Adcy3/B3gat1/Ttbk1/Kalrn/Jph3/Grm7/Pak5/Apbb1/Cntnap2/Grin1/Dgki/Clstn2/Brsk1/Nrxn2/Snap25/Amph/Rcan2/Oprl1/Gria1/Map1a/Kat2a/Gabrb3/Rapgef3/Ndrg4/Prkcz/Tmod2/Pde8b/Shank2/Kcnq2/Pak6/Nog/Ncam1/Sorcs3/Synj1/Prkar1b/Mtor/Mapk8ip2/Nrxn3/Plcb1/Large1/Cpeb3/Pcdh8/Ctnnd2/Clstn3/Syngap1/Gprasp3",74,"Up","ARC"
"GO:0050803","regulation of synapse structure or activity",0.070506454816286,0.0170880651382044,0.22257053291536,4.12606425865338,13.4471855028424,3.89822563249742e-25,1.9545703321342e-22,1.69552298036624e-22,"Bdnf/Snca/Cbln1/Myo5b/Elavl2/Slitrk5/Cdh8/Ppfia2/Slc17a6/Lzts3/Chrna7/Lrfn5/Camkv/Oxtr/Slit2/Lrrtm2/Adgrb2/Gpr158/Dnm3/Nefl/Slitrk1/Grin2b/Wnt7a/C1ql3/Kalrn/LRRTM1/Il1rapl1/Grin1/Camk2b/Numbl/Clstn2/Srcin1/Snap25/Rims4/Neurl1/Dgkb/Tanc2/Icam5/Psd/Snap91/Nlgn1/Gria4/Ptpro/Cntnap1/Amigo2/Efnb3/Lrrc24/Rims3/Lrrc4b/Shank2/Epha4/Flrt1/Stau2/Numb/Cttnbp2/Gpm6a/Clstn1/Sybu/Ngef/Ctnna2/Dlg4/Ephb1/Vps35/Pcdh8/Ptk2b/Dbn1/Nectin1/Clstn3/Syngap1/Cfl1/Gprasp3",71,"Up","ARC"
"GO:0006836","neurotransmitter transport",0.0675273088381331,0.0130704949646454,0.278688524590164,5.16639262864864,15.6425480833402,2.29856479039428e-30,2.88125096475924e-27,2.49938676681821e-27,"Grm2/Slc18a2/Prkcg/Snca/Doc2a/Htr2c/Cplx1/Prrt2/Syt1/Slc6a15/Ppfia2/Slc17a6/Syt2/Cacnb4/Lin7b/Syn2/Cacna1e/Cacna1b/Syt9/Cadps/Gpr158/Pak1/Syn1/Slc6a17/Slc22a3/Lin7a/Napb/Wnt7a/Nat8l/Sv2a/Syt7/Sptbn2/Rph3a/Vamp2/Rab3a/Vamp1/Dgki/Rims1/Brsk1/Nrxn2/Nos1ap/Snap25/Stxbp5/Ddc/Unc13c/Rims4/Stxbp1/Slc29a2/Snap91/Nlgn1/Kcnc4/Erc2/Syt10/Syngr3/Cacna1a/Stx1b/Rims3/Ppfia3/Slc29a1/Cplx2/Apba1/Septin5/Stx1a/Synj1/Nrxn3/Pfn2/Fbxo45/Camk2a",68,"Up","ARC"
"GO:0050807","regulation of synapse organization",0.0665342601787488,0.0167130919220056,0.21474358974359,3.9809665673618,12.6791380816474,7.53839147802963e-23,2.51983299138937e-20,2.18586902366445e-20,"Bdnf/Snca/Cbln1/Myo5b/Elavl2/Slitrk5/Cdh8/Ppfia2/Lzts3/Chrna7/Lrfn5/Camkv/Oxtr/Slit2/Lrrtm2/Adgrb2/Gpr158/Dnm3/Nefl/Slitrk1/Grin2b/Wnt7a/C1ql3/Kalrn/LRRTM1/Il1rapl1/Grin1/Camk2b/Numbl/Clstn2/Srcin1/Snap25/Rims4/Neurl1/Dgkb/Tanc2/Icam5/Psd/Snap91/Nlgn1/Ptpro/Cntnap1/Amigo2/Efnb3/Lrrc24/Rims3/Lrrc4b/Shank2/Epha4/Flrt1/Stau2/Numb/Cttnbp2/Gpm6a/Clstn1/Ngef/Ctnna2/Dlg4/Ephb1/Vps35/Pcdh8/Ptk2b/Dbn1/Nectin1/Clstn3/Cfl1/Gprasp3",67,"Up","ARC"
