ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,direction,tissue
GO:0048167,regulation of synaptic plasticity,0.078450844,0.019552175,0.216438356,4.012384541,13.87842096,5.23E-27,3.28E-24,2.84E-24,Grm2/Bdnf/Pmch/Grm5/Prkcg/Snca/Cbln1/Kcnq3/Grin2a/Penk/Neto1/Nrgn/Cyp46a1/Akap5/Prrt2/Slc8a3/Gnal/Chrna7/Atp2b2/Calb1/Lrrtm2/Slc24a2/Pak1/Calb2/Grin2b/Ncdn/Rasgrf2/Kalrn/Jph3/Syt7/LRRTM1/Vamp2/Rab3a/Ptpn5/Grin1/Camk2b/Dgki/Rims1/Brsk1/Snap25/Gria1/Unc13c/Map1a/Kcnn2/Rims4/Stxbp1/Neurl1/Sorcs2/Kat2a/Fgf14/Nlgn1/Erc2/Shisa9/Prkcz/Map1b/Rims3/Ppfia3/Cplx2/Shank2/Kcnq2/Epha4/Stau2/Nog/Sorcs3/Hras/Rapgef2/Prkar1b/Slc4a10/Dlg4/Large1/Nsg1/Cpeb3/Ptk2b/Ctnnd2/Mpp2/Dbn1/Camk2a/Syngap1/Cfl1,79,Up,ARC
GO:0007611,learning or memory,0.073485601,0.019123634,0.207282913,3.842658811,12.94932609,3.91E-24,1.51E-21,1.31E-21,Cck/Bdnf/Pmch/Grm5/Prkcg/Cnr1/Grm4/Grin2a/Htr2c/Neto1/Nrgn/Tac1/Pde1b/Slc8a3/Hrh3/Gabra5/Chrna7/Scn2a/Calb1/Cacna1e/Oxtr/Shank1/Fgf13/Slc24a2/Pak1/Grin2b/Atp1a3/Slc12a5/Adcy3/B3gat1/Ttbk1/Kalrn/Jph3/Grm7/Pak5/Apbb1/Cntnap2/Grin1/Dgki/Clstn2/Brsk1/Nrxn2/Snap25/Amph/Rcan2/Oprl1/Gria1/Map1a/Kat2a/Gabrb3/Rapgef3/Ndrg4/Prkcz/Tmod2/Pde8b/Shank2/Kcnq2/Pak6/Nog/Ncam1/Sorcs3/Synj1/Prkar1b/Mtor/Mapk8ip2/Nrxn3/Plcb1/Large1/Cpeb3/Pcdh8/Ctnnd2/Clstn3/Syngap1/Gprasp3,74,Up,ARC
GO:0016358,dendrite development,0.06653426,0.017677309,0.203030303,3.763822936,12.0958267,2.00E-21,5.58E-19,4.84E-19,Bdnf/Myo5b/Trpc5/Akap5/Slitrk5/Hecw1/Ppfia2/Lzts3/Fezf2/Chrna7/Shank1/Dnm3/Pak1/Grin3a/Sult4a1/Slc12a5/Wnt7a/Prickle1/Dpysl5/Kalrn/Actl6b/Il1rapl1/Cntnap2/Grin1/Camk2b/Numbl/Kndc1/Srcin1/Map1a/Neurl1/Tanc2/Dgkg/Sez6/Alk/Nlgn1/Dscam/Gpr37/Mapk8/Cacna1a/Map1b/Syne1/Epha4/Flrt1/Stau2/Numb/Cc2d1a/Hecw2/Ywhah/Rapgef2/Ngef/Mtor/Mapk8ip2/Acsl4/Cit/Ache/Ctnna2/Dlg4/Ephb1/Cpeb3/Ctnnd2/Dbn1/Parp6/Camk2a/Dclk1/Syngap1/Cfl1/Gprasp3,67,Up,ARC
GO:0021537,telencephalon development,0.05958292,0.020302121,0.158311346,2.934812513,9.086735072,4.75E-14,5.42E-12,4.70E-12,Lhx1/Fezf1/Grin2a/Rtn4rl1/Nrgn/Akap5/Slitrk5/Lef1/Nefh/Kcna1/Nefm/Slc17a6/Slc8a3/Kcnc1/Fezf2/Scn2a/Oxtr/Slit2/Fgf13/Sema6b/Pou3f2/Nefl/Grin2b/Crtac1/Atp1a3/Bmerb1/Kcna2/Tubb2a/Gria2/Cntnap2/Grin1/Numbl/Slc2a3/Kif5a/Atp2b4/Gria1/Plxna4/Kif21b/Kat2a/Zbtb18/Mcph1/Alk/Sall3/Kcnc4/Dixdc1/Dpysl2/Tubb2b/Nkx2-1/Kcnq2/Bcl11b/Nog/Numb/Dclk2/Nrg3/Plcb1/Dlg4/Large1/Fbxo45/Phlpp1/Cfl1,60,Up,ARC
GO:0061458,reproductive system development,0.054401583,0.023194772,0.127020785,2.345424351,6.77804942,3.43E-09,2.94E-07,2.04E-07,Cyp7b1/Itgb1/Prdx4/Inhbb/Cst3/Cebpb/Vegfa/Tp53/Fgf10/Crip1/Gfra1/Pdgfrb/Igf1r/C3/Cd44/Nr2f2/Mmp14/Kdr/Chd7/Ctsl/Ybx3/Ctnna1/Rab13/Acvr1c/Myh9/Tesc/Cd2ap/Errfi1/Rbp4/Pdgfra/Wnt5a/Flna/Ccnd1/Wnt4/Anxa1/Mmp2/Cdkn1c/Sfrp1/Igf1/Serpinf1/Tlr3/Bmp6/Antxr2/Kitlg/Angpt1/Nupr1/Lhb/Col6a1/Lepr/Cdh1/Foxc1/Fshb/Bmp7/Cyp1b1/Cga,55,Down,ARC
GO:0031960,response to corticosteroid,0.053412463,0.018855796,0.153409091,2.832681414,8.306104156,3.78E-12,9.15E-10,6.34E-10,Vegfa/Hmgcs2/Mdk/Anxa3/C1qb/Ddit4/Ptpru/Fosl2/Igf1r/C3/Shc1/Sgk1/Igfbp7/Cav1/Ghr/Akap13/Ctsl/Axin2/Fos/Ggcx/Hey1/Phlda1/Aif1/Acvr1c/Ptgds/Reln/Errfi1/Wnt5a/Ccnd1/Ccn2/Lcat/Anxa1/Il6r/Fibin/Igf1/Mgp/Igfbp2/Serpinf1/Ucp2/Sult1a1/Ephx1/Bmp6/Th/Cyba/Aqp1/RT1-Ba/Ghrh/RT1-Db1/Fn1/RT1-Bb/Oxt/Lepr/Gjb2/Cyp1b1,54,Down,ARC
GO:0051384,response to glucocorticoid,0.049455984,0.016820227,0.159235669,2.940268511,8.296896623,5.92E-12,1.37E-09,9.52E-10,Vegfa/Hmgcs2/Mdk/Anxa3/C1qb/Ddit4/Ptpru/Fosl2/Igf1r/C3/Shc1/Sgk1/Igfbp7/Cav1/Ghr/Akap13/Ctsl/Axin2/Fos/Ggcx/Hey1/Aif1/Ptgds/Reln/Errfi1/Wnt5a/Ccnd1/Lcat/Anxa1/Il6r/Fibin/Igf1/Mgp/Igfbp2/Serpinf1/Ucp2/Sult1a1/Ephx1/Bmp6/Th/Aqp1/RT1-Ba/Ghrh/RT1-Db1/Fn1/RT1-Bb/Oxt/Lepr/Gjb2/Cyp1b1,50,Down,ARC
GO:0032355,response to estradiol,0.046488625,0.013927577,0.180769231,3.337883284,9.083653926,2.38E-13,7.37E-11,5.11E-11,Cst3/Vegfa/Ptn/Mbd2/Fgf10/Grn/Pdgfrb/Tfpi/Fosl2/Igf1r/C3/Nr2f2/Gpx1/Zfp703/Ghr/Ifi27/Ezh2/Cacna1d/Npy1r/Vim/Wfdc1/Errfi1/Pdgfra/Wnt5a/Ccnd1/F3/Wnt4/Cd4/Igfbp3/Ccn2/Hba-a2/Anxa1/Mmp2/Sfrp1/Igf1/Tnfrsf1a/Igf2/Igfbp2/Arpc1b/Th/Col1a1/Oxt/Aldh1a2/Txnip/Bmp7/Gjb2/Cyp1b1,47,Down,ARC
GO:0071559,response to transforming growth factor beta,0.045499505,0.017945147,0.137313433,2.535476918,6.785835223,5.91E-09,4.84E-07,3.36E-07,Itgb1/Smad3/Furin/Eng/Acvrl1/Ltbp4/Tp53/Sdcbp/Il17rd/Igf1r/Twsg1/Abl1/Cav1/Zfp703/Lats2/Fos/Acvr1c/Cd2ap/Wnt5a/Wnt4/Fbn1/Hspa1a/Pxn/Pdgfd/Cdkn1c/Sfrp1/Id1/Emilin1/Adamtsl2/Cdh5/Tgfbr2/Npnt/Col3a1/Col1a2/Ctsk/Lrrc32/Ltbp1/Hspa1b/Dab2/Tgfbr3/Fn1/Htra3/Col1a1/Ddr2/Lox/Fshb,46,Down,ARC
GO:0099504,synaptic vesicle cycle,0.064548163,0.012856225,0.270833333,5.020771268,14.96994624,2.80E-28,2.01E-25,1.74E-25,Slc18a2/Prkcg/Snca/Myo5b/Doc2a/Cplx1/Prrt2/Syt1/Ppfia2/Slc17a6/Syt2/Cacnb4/Syn2/Cacna1e/Cacna1b/Syt9/Cadps/Dnm3/Sncb/Syn1/Napb/Atp6v1g2/Wnt7a/Sv2a/Syt7/Sptbn2/Rph3a/Vamp2/Rab3a/Vamp1/Btbd8/Rims1/Brsk1/Snap25/Stxbp5/Amph/Ddc/Unc13c/Rims4/Stxbp1/Fgf14/Snap91/Nlgn1/Dnm1/Erc2/Syt10/Atp6v1e1/Cacna1a/Stx1b/Rims3/Ppfia3/Cplx2/Apba1/Pcdh17/Septin5/Stx1a/Synj1/Prkar1b/Ppp3r1/Ppp3cb/Pfn2/Rab27b/Fbxo45/Camk2a/Sh3gl3,65,Up,ARC
