"sample_ids","gonad","VMN","ARC","sex","group"
"NMX01A","testis","sequenced",NA,"M","Blue"
"NMX07B","testis","sequenced",NA,"M","Blue"
"NMX10G","ovary","sequenced","sequenced","F","Blue"
"NMX16G","ovary","sequenced","sequenced","F","Orange"
"NMX22A","testis","sequenced","sequenced","M","Orange"
"NMX27G","ovary",NA,NA,"F","Blue"
"NMX01F","ovary","sequenced",NA,"F","Blue"
"NMX07G","ovary","sequenced",NA,"F","Blue"
"NMX12B","testis","sequenced","sequenced","M","Blue"
"NMX17B","testis","sequenced","sequenced","M","Blue"
"NMX22F","ovary","sequenced","sequenced","F","Orange"
"NMX28B","testis","sequenced","sequenced","M","Orange"
"NMX02A","testis","sequenced",NA,"M","Orange"
"NMX08A","testis","sequenced",NA,"M","Orange"
"NMX12F","ovary",NA,NA,"F","Blue"
"NMX17G","ovary","sequenced","sequenced","F","Blue"
"NMX23B","testis","sequenced","sequenced","M","Orange"
"NMX28G","ovary",NA,NA,"F","Orange"
"NMX02F","ovary","sequenced",NA,"F","Orange"
"NMX08F","ovary","sequenced",NA,"F","Orange"
"NMX13A","testis","sequenced","sequenced","M","Orange"
"NMX18D","testis",NA,NA,"M","Orange"
"NMX24C","testis",NA,NA,"M","Blue"
"NMX29A","testis","sequenced","sequenced","M","Blue"
"NMX03B","testis","sequenced","sequenced","M","Blue"
"NMX09A","testis","sequenced","sequenced","M","Orange"
"NMX13N","ovary","sequenced","sequenced","F","Orange"
"NMX19C","testis",NA,NA,"M","Orange"
"NMX24F","ovary","sequenced","sequenced","F","Blue"
"NMX29F","ovary",NA,NA,"F","Blue"
"NMX03F","ovary","sequenced",NA,"F","Blue"
"NMX09G","ovary","sequenced","sequenced","F","Orange"
"NMX14B","testis","sequenced","sequenced","M","Blue"
"NMX19H","ovary","sequenced","sequenced","F","Orange"
"NMX25C","testis",NA,NA,"M","Blue"
"NMX30A","testis","sequenced","sequenced","M","Orange"
"NMX06A","testis","sequenced",NA,"M","Orange"
"NMX09H","ovary","sequenced","sequenced","F","Orange"
"NMX15F","ovary","sequenced","sequenced","F","Blue"
"NMX21C","testis","sequenced","sequenced","M","Blue"
"NMX25G","ovary",NA,NA,"F","Blue"
"NMX30G","ovary",NA,NA,"F","Orange"
"NMX06F","ovary","sequenced",NA,"F","Orange"
"NMX10A","testis","sequenced","sequenced","M","Blue"
"NMX16B","testis",NA,NA,"M","Orange"
"NMX21F","ovary","sequenced","sequenced","F","Blue"
"NMX27B","testis","sequenced",NA,"M","Blue"
NA,NA,NA,NA,NA,NA
